5 - 6,LCS Proving Grounds 2021 Summer,WCR
1,EGL Summer Showdown Playoffs,WCR
1,EGL Summer Showdown,⁠
1,RCL 2021 Summer Playoffs,WCR
1,RCL 2021 Summer,⁠
1,Challengers Uprising Season 3 Playoffs,WCR
1,Challengers Uprising Season 3,⁠
Q,Challengers Uprising Season 3 Qualifier #1,WCR
9 - 16,CLOL 2021 Championship,UWO
13 - 16,LCS Proving Grounds 2021 Spring,WC
1,East Conference 2021 Playoffs,UWO
4,Giant Slayer Gauntlet 2021 Spring,WC
Q,East Conference 2021,UWO
9,Challengers Uprising Season 2,WC
Q,Challengers Uprising Season 2 Qualifiers,WC
4,BIG League Season 4,⁠
12,RCL 2021 Winter,WC
NQ,Legends Weekend League Open Qualifier 1,FS
