9,CBLOL 2022 Split 2,ITZ
10,CBLOL 2022 Split 1,ITZ
3,CBLOL 2021 Split 1 Playoffs,FLA
2,CBLOL Academy 2021 Split 1,FLA.A
1,CBLOL 2021 Split 1,FLA
4,CBLOL 2020 Split 2 Playoffs,KBM
3,CBLOL 2020 Split 2,KBM
1,CBLOL 2020 Split 1 Playoffs,KBM
4,CBLOL 2020 Split 1,KBM
3,GIRLGAMER 2019 Esports Festival Dubai Final,i9
5 - 6,Superliga ABCDE 2019,RDP
6,CBLOL 2019 Split 2,RDP
8,CBLOL 2018 Split 2,RED
2,CBLOL 2018 Split 1 Playoffs,VK
3,CBLOL 2018 Split 1,VK
Q,CBLOL 2018 Split 1 Promotion,KST
6,CBLOL 2017 Split 2,KST
1,Rift Rivals 2017 LLN-CLS-CBLOL,KST
13 - 16,Worlds 2016,ITZ
1,CBLOL 2016 Split 2 Playoffs,ITZ
2,CBLOL 2016 Split 1,ITZ
1,CBLOL 2015 Post-Season,ITZ
1,BRMA 2015 Sao Paulo,ITZ
2,CBLOL 2015 Split 2 Playoffs,ITZ
