9 - 12,LCS Proving Grounds 2022 Summer,TSM.A
9,NA Academy 2022 Summer,TSM.A
7 - 16,PGCQ 2022 Summer 2 OQ,NO
4,LCS Proving Grounds 2021 Summer,IMT.A
5 - 6,NA Academy 2021 Summer Playoffs,IMT.A
6,NA Academy 2021 Summer,IMT.A
1,LCS Proving Grounds 2021 Spring,NO
1,Unified Grand Prix 2021 Spring,NO
1,Challengers Uprising Season 2 Playoffs,NO
1,Challengers Uprising Season 2,NO
1,BIG League Season 4 Playoffs,NO
1,BIG League Season 4,⁠
5 - 6,RCL 2021 Winter Playoffs,ANW
4,RCL 2021 Winter,ANW
3 - 4,NA Academy 2020 Summer Playoffs,EG.A
6,NA Academy 2020 Summer,EG.A
2,NA Academy 2020 Spring Playoffs,EG.A
3,NA Academy 2020 Spring,EG.A
1,NA Academy 2019 Summer Playoffs,100.A
3,NA Academy 2019 Summer,100.A
10,LCS 2019 Spring,100
9 - 12,Worlds 2018,100
4,NA LCS 2018 Summer Playoffs,100
3,NA LCS 2018 Summer,100
5,NA Academy 2018 Summer,FLY.A
8,NA LCS 2018 Spring,FLY
3,NA Academy 2018 Spring,FLY.A
4,NACS 2016 Summer,DT
5,NACS 2016 Spring,DT
Q,NACS 2016 Spring Qualifiers,AA
Q,NACS 2016 Spring Open Qualifiers,AA
2,BMC NA Fall,⁠
4,BMC NA Summer Playoffs,DNL
2,BMC NA Summer,⁠
