1,LCS Proving Grounds 2022 Summer,TL.A
1,NA Academy 2022 Summer,TL.A
1,LCS Proving Grounds 2022 Spring,TL.A
4,NA Academy 2022 Spring,TL.A
2,LCS Proving Grounds 2021 Summer,TL.A
1,NA Academy 2021 Summer Playoffs,TL.A
5,LCS 2021 Summer,TL
2,NA Academy 2021 Summer,TL.A
2,LCS 2021 Mid-Season Showdown,TL
13 - 16,LCS Proving Grounds 2021 Spring,TL.A
1,Arena of Legends 2021,TL.A
2,NA Academy 2021 Spring,TL.A
1,LCS 2021 Lock In,TL
10,NA Academy 2020 Summer,TL.A
3 - 4,NA Academy 2020 Spring Playoffs,DIG.A
7,LCS 2020 Spring,DIG
2,NA Academy 2020 Spring,DIG.A
3 - 4,NA Academy 2019 Summer Playoffs,TSM.A
4,LCS 2019 Summer,TSM
2,Rift Rivals 2019 NA-EU,TSM
1,NA Academy 2019 Spring Playoffs,TSM.A
2,NA Academy 2019 Spring,TSM.A
2,NA Regional Finals 2018,TSM
3,NA LCS 2018 Summer Playoffs,TSM
5,NA LCS 2018 Summer,TSM
8,NA LCS 2017 Summer,FOX
10,NA LCS 2016 Summer,FOX
Q,NACS 2016 Summer Open Qualifier,THE
7,NA LCS 2016 Spring,FOX
3 - 4,HTC Ascension,AKA
1,League One Powered by D!ngIt,C9T
4,NACL New Year’s Kick-off,COG
4,Go4LoL NA 188,COG
