13 - 16,NACL 2023 Spring Playoffs,TLF
14,NACL 2023 Spring,TLF
9 - 12,Unified Grand Prix 2021 Summer,EG.P
4,EGL Summer Showdown Playoffs,EG.P
2,EGL Summer Showdown,⁠
5 - 8,RCL 2021 Summer Playoffs,EG.P
1,RCL 2021 Summer,⁠
5 - 8,Challengers Uprising Season 3 Playoffs,EG.P
2,Challengers Uprising Season 3,⁠
Q,Challengers Uprising Season 3 Qualifier #2,EG.P
NQ,Challengers Uprising Season 3 Qualifier #1,EG.P
5 - 6,LCS Proving Grounds 2021 Spring,EG.P
3,Giant Slayer Gauntlet 2021 Spring,EG.P
9 - 12,Unified Grand Prix 2021 Spring,EG.P
4,Challengers Uprising Season 2 Playoffs,EG.P
3,Challengers Uprising Season 2,EG.P
5 - 8,BIG League Season 4 Playoffs,EG.P
1,BIG League Season 4,⁠
2,RCL 2021 Winter Playoffs,EG.P
1,RCL 2021 Winter,EG.P
1,UPL 2020 Fall Playoffs,EG.P
2,RCL Season 10 Playoffs,EG.P
2,UPL 2020 Fall,⁠
1,RCL Season 10,⁠
4,FCS Season 4,⁠
4,UPL 2019 Summer,⁠
