27 - 31,PGCQ 2022 Summer 1 OQ,TAB
9 - 16,Nerd Street Winter Champs 2022 Qualifier 4,TAB
5 - 8,Nerd Street Winter Champs 2022 Qualifier 3,TAB
3,UPL 2021 Summer,⁠
9,Legends Weekend League 2020,SMP
5 - 8,Challengers Uprising Season 1 Playoffs,SMP
3,Challengers Uprising Season 1,⁠
2,UPL 2020 Summer,⁠
9 - 12,BIG League Season 3 Playoffs,FS
3,BIG League Season 3,⁠
1,BIG League Season 3,⁠
Q,Legends Weekend League Open Qualifier 3,FS
NQ,Legends Weekend League Open Qualifier 2,FS
NQ,Legends Weekend League Open Qualifier 1,FS
2,Big East 2020,DPU
1,NASG 2019,OCN
2,UPL 2019 Fall,⁠
9,BIG League Season 2,SN.S
2,UPL 2019 Summer,⁠
NQ,CLOL 2019 Play-In,DPU
