9 - 12,UPL 2022 Fall Playoffs,ZEN
3,UPL 2022 Fall,⁠
7 - 16,PGCQ 2022 Summer 2 OQ,CLGF
9 - 12,PGCQ 2022 Summer 1,CLGF
7 - 16,PGCQ 2022 Summer 1 OQ,CLGF
5 - 6,UPL 2022 Spring Playoffs,SN
3,UPL 2022 Spring,⁠
9 - 12,PGCQ 2022 Spring 2,SN
7 - 16,PGCQ 2022 Spring 2 OQ,SN
13 - 16,PGCQ 2022 Spring 1,SN
5 - 8,Nerd Street Winter Champs 2022 Qualifier 4,SN
7 - 16,PGCQ 2022 Spring 1 OQ,SN
5 - 8,Nerd Street Winter Champs 2022 Qualifier 3,UCI
3 - 4,Gateway Legends Collegiate Invitational 2021,ASU
9 - 16,CLOL 2021 Championship,ASU
1,West Conference 2021 Playoffs,ASU
Q,West Conference 2021,ASU
3 - 4,Best Coast Invitational 2020,ASU
Q,West Conference 2020,ASU
