13 - 16,NACL 2023 Spring Playoffs,FLYF
15,NACL 2023 Spring,FLYF
13 - 16,LCS Proving Grounds 2022 Summer,FEAR
5 - 8,PGCQ 2022 Summer 2,FEAR
2 - 6,PGCQ 2022 Summer 2 OQ,FEAR
2,PGCQ 2022 Summer 1,FEAR
7 - 16,PGCQ 2022 Summer 1 OQ,FEAR
13 - 16,LCS Proving Grounds 2022 Spring,NOT
1,PGCQ 2022 Spring 2,NOT
2 - 6,PGCQ 2022 Spring 2 OQ,NOT
5 - 8,PGCQ 2022 Spring 1,NOT
7 - 16,PGCQ 2022 Spring 1 OQ,NOT
NQ,Challengers Uprising Season 2 Qualifiers,NO
3,BIG League Season 4,⁠
17,RCL 2021 Winter,CNV
4,BIG League Season 2 Playoffs,TF
3,UPL 2019 Summer,⁠
3,UPL 2019 Winter,⁠
