13 - 16,NACL 2023 Spring Playoffs,FLYF
15,NACL 2023 Spring,FLYF
9 - 12,LCS Proving Grounds 2022 Spring,IMA
3 - 4,PGCQ 2022 Spring 2,IMA
5 - 8,Nerd Street Winter Champs 2022 Finals,IMA
2 - 6,PGCQ 2022 Spring 2 OQ,IMA
3 - 4,PGCQ 2022 Spring 1,IMA
2 - 6,PGCQ 2022 Spring 1 OQ,IMA
5 - 6,LCS Proving Grounds 2021 Summer,WCR
1,EGL Summer Showdown Playoffs,WCR
1,EGL Summer Showdown,⁠
1,RCL 2021 Summer Playoffs,WCR
1,RCL 2021 Summer,⁠
8,NA Academy 2021 Spring,CLG.A
2,NA Academy 2020 Spring Playoffs,EG.A
3,NA Academy 2020 Spring,EG.A
4,NA Academy 2019 Summer,TSM.A
1,NA Academy 2019 Spring Playoffs,TSM.A
2,NA Academy 2019 Spring,TSM.A
5 - 6,NA Academy 2018 Summer Playoffs,100.A
6,NA Academy 2018 Summer,100.A
2,Rift Rivals 2018 NA-EU,100
8,NA LCS 2017 Summer,FOX
8,NA LCS 2016 Summer,P1
1,Carbon Winter Invitational 2016,TDG
7 - 8,HTC Ascension,TDG
NQ,NACS 2015 Summer Qualifier,FFG
2,Press Start LAN 2015,⁠
4,Go4LoL NA 188,COG
