7 - 8,Unified Grand Prix 2021 Summer,DIG.M
3,EGL Summer Showdown,⁠
5 - 8,EGL Summer Showdown Open Qualifier,DIG.M
3,RCL 2021 Summer,⁠
Q,RCL 2021 Summer Open Qualifier,DIG.M
5 - 6,SGC 2020 Play Off,RAD
6,Legends Weekend League 2020,RAD
3,UPL 2020 Summer Playoffs,RAD
3,FCS Season 4 Playoffs,RAD
2,RCL Season 9,⁠
6,Challengers Uprising Season 1,⁠
1,FCS Season 4,⁠
2,UPL 2020 Summer,⁠
13 - 16,BIG League Season 3 Playoffs,RAD
5 - 6,NA Academy 2020 Spring Playoffs,TL.A
6,NA Academy 2020 Spring,TL.A
12,BIG League Season 2,REX
8,NA Academy 2018 Summer,OPT.A
7,NA Academy 2018 Spring,CG.A
4,NASG 2017,CLD
