6,Unified Grand Prix 2021 Summer,SN
2,EGL Summer Showdown,⁠
1,EGL Summer Showdown Open Qualifier,SN
3,RCL 2021 Summer,⁠
Q,RCL 2021 Summer Open Qualifier,SN
3,Challengers Uprising Season 3,⁠
5 - 8,CLOL 2021 Championship,CC
Q,Challengers Uprising Season 3 Qualifier #1,SN
5 - 8,North Conference 2021 Playoffs,CC
Q,North Conference 2021,CC
5 - 8,Challengers Uprising Season 2 Playoffs,RA
6,Challengers Uprising Season 2,RA
Q,Challengers Uprising Season 2 Qualifiers,RA
4,BIG League Season 4,⁠
20,RCL 2021 Winter,SSFW
5 - 8,Challengers Uprising New Years Showdown,SSFW
1,UPL 2020 Fall,⁠
5,Legends Weekend League 2020,SN
2,RCL Season 9,⁠
6,Challengers Uprising Season 1,⁠
7 - 8,UPL 2020 Summer Playoffs,SN
5 - 6,BIG League Season 3 Playoffs,SN
1,FCS Season 4,⁠
1,UPL 2020 Summer,⁠
3,BIG League Season 3,⁠
2,BIG League Season 3,⁠
4,UPL 2020 Spring,⁠
Q,North Conference 2020,CC
10,NA Academy 2019 Spring,CG.A
2,NA Academy 2018 Spring Playoffs,FOX.A
2,NA LCS 2018 Spring,FOX
4,NA Academy 2018 Spring,FOX.A
1,CLOL 2017 Championship,MU
1,North Conference 2017,⁠
4,NACS 2016 Summer,DT
Q,NACS 2016 Summer Open Qualifier,THE
5,NACS 2016 Spring,DT
5 - 8,BMC NA Fall Playoffs,AKA
4,Go4LoL NA 177,NME
4,BMC NA Fall,⁠
4,Go4LoL NA 175,NME
1,Go4LoL NA 174,NME
1,Go4LoL NA 166,AKA
