Name,Year,Season,BMI
0909,2020,summer,26.006403
0909,2021,spring,21.019953
0909,2022,summer,24.589148
1024,2019,spring,20.268976000000002
1024,2019,summer,20.057373000000002
1024,2023,spring,22.813871
10ng,2021,summer,25.231714
113,2020,spring,19.438215
113,2021,spring,21.132011
113,2021,summer,29.408346
113,2022,spring,24.036709
113,2023,spring,18.783773
1220,2017,summer,20.203478
1220,2018,spring,20.864470999999998
1220,2018,summer,24.441454
1220,2019,spring,17.171429999999997
1220,2019,summer,20.941323999999998
1220,2020,spring,25.937739999999998
1220,2020,summer,19.84548
1220,2021,spring,23.239185
1874,2017,summer,20.731997
1874,2018,spring,20.006987
1874,2018,summer,19.68212
1874,2019,spring,21.584455
1874,2019,summer,23.494194
1874,2020,spring,24.064512
1874,2020,summer,24.649382
1998,2018,spring,23.22664
1dt,2020,spring,26.464502000000003
1ee,2018,summer,17.418326999999998
1ntruder,2016,summer,16.876637
1ntruder,2017,spring,21.151249
1ntruder,2017,summer,22.550327
1ntruder,2018,summer,18.364431
1ntruder,2019,spring,20.599089000000003
1ronn,2020,summer,17.218560999999998
1ronn,2021,spring,21.883747
1xn,2021,summer,21.158339
1xn,2022,summer,22.680243
1xn,2023,spring,23.335491
242,2023,spring,19.513287
2cups,2021,spring,22.760828
2cups,2022,spring,17.16535
2trick,2023,spring,18.902655
2y1,2020,summer,17.772326
2y1,2021,spring,20.995188
2y1,2021,summer,23.76085
2y1,2022,spring,24.855701
300,2018,spring,16.529573000000003
34,2022,summer,17.928335
369,2018,spring,24.71578
369,2018,summer,21.903646
369,2019,spring,23.657158
369,2019,summer,25.753404999999997
369,2020,spring,22.614862
369,2020,summer,21.561632
369,2021,spring,24.974567
369,2021,summer,24.276076999999997
369,2022,spring,22.463214999999998
369,2023,spring,22.402288000000002
57,2020,spring,17.4531
57,2020,summer,17.941035999999997
5k,2022,spring,27.338902
5kid,2019,spring,21.785683
5kid,2019,summer,20.638586
5kid,2020,summer,24.947817
614,2018,summer,16.582247
6ax,2022,spring,17.213453
6zc,2023,spring,21.56219
705,2018,summer,19.549329999999998
705,2019,spring,17.931145
